run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
13/05/2025 13:58,202503,ABERDEEN,POLAND,GDANSK,WIZZ AIR,A,S,14,0,0,57.142857,35.714286,0.000000,0.000000,0.000000,7.142857,0.000000,0.000000,0.000000,0.000000,0.000000,5,9,88.888889,6
13/05/2025 13:58,202503,ABERDEEN,POLAND,GDANSK,WIZZ AIR,D,S,14,0,0,14.285714,57.142857,14.285714,7.142857,0.000000,7.142857,0.000000,0.000000,0.000000,0.000000,0.000000,8,9,66.666667,11
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,A,S,18,0,0,22.222222,61.111111,5.555556,0.000000,5.555556,5.555556,0.000000,0.000000,0.000000,0.000000,0.000000,9,18,94.444444,4
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,D,S,18,0,0,5.555556,72.222222,5.555556,5.555556,5.555556,5.555556,0.000000,0.000000,0.000000,0.000000,0.000000,10,18,88.888889,5
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,A,S,74,0,1,32.000000,49.333333,9.333333,1.333333,2.666667,2.666667,0.000000,1.333333,0.000000,0.000000,1.333333,8,75,71.794872,16
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,D,S,74,0,0,8.108108,67.567568,20.270270,0.000000,0.000000,4.054054,0.000000,0.000000,0.000000,0.000000,0.000000,4,77,85.714286,12
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,A,S,22,0,0,31.818182,45.454545,18.181818,0.000000,4.545455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,21,86.363636,11
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,D,S,22,0,0,4.545455,59.090909,31.818182,0.000000,0.000000,4.545455,0.000000,0.000000,0.000000,0.000000,0.000000,4,21,86.363636,2
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,EDINBURGH,EASYJET UK LTD,A,S,1,0,0,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,A,S,24,0,4,0.000000,17.857143,46.428571,7.142857,3.571429,3.571429,0.000000,7.142857,0.000000,0.000000,14.285714,29,34,88.571429,6
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,D,S,23,0,3,0.000000,30.769231,15.384615,3.846154,7.692308,19.230769,11.538462,0.000000,0.000000,0.000000,11.538462,44,34,91.176471,6
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,INVERNESS,BRITISH AIRWAYS PLC,A,S,1,0,0,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,A,S,73,0,0,43.835616,43.835616,4.109589,2.739726,2.739726,2.739726,0.000000,0.000000,0.000000,0.000000,0.000000,4,35,51.428571,18
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,D,S,73,0,0,6.849315,58.904110,24.657534,1.369863,4.109589,2.739726,1.369863,0.000000,0.000000,0.000000,0.000000,7,27,51.851852,63
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,A,S,62,0,0,33.870968,50.000000,11.290323,3.225806,1.612903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,61,74.603175,12
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,D,S,62,0,0,1.612903,69.354839,25.806452,1.612903,0.000000,0.000000,0.000000,1.612903,0.000000,0.000000,0.000000,6,62,83.870968,15
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,A,S,218,0,9,29.955947,40.528634,15.418502,6.607930,3.083700,0.000000,0.440529,0.000000,0.000000,0.000000,3.964758,5,193,77.040816,12
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,D,S,219,0,9,2.631579,61.403509,22.807018,3.947368,3.070175,1.315789,0.877193,0.000000,0.000000,0.000000,3.947368,6,194,78.571429,12
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,HEATHROW,LOGANAIR LTD,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,2,0.000000,19
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,A,S,14,0,0,28.571429,57.142857,7.142857,0.000000,7.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,17,77.777778,6
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,D,S,14,0,0,14.285714,35.714286,42.857143,0.000000,0.000000,7.142857,0.000000,0.000000,0.000000,0.000000,0.000000,7,17,66.666667,17
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,A,S,63,0,0,25.396825,49.206349,12.698413,3.174603,3.174603,4.761905,0.000000,1.587302,0.000000,0.000000,0.000000,12,70,83.098592,8
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,D,S,61,0,1,4.838710,59.677419,24.193548,3.225806,3.225806,3.225806,0.000000,0.000000,0.000000,0.000000,1.612903,5,71,87.323944,5
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,14,75.000000,24
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,D,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,25,84.615385,12
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,A,S,21,0,0,23.809524,61.904762,14.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,14,71.428571,11
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,D,S,23,0,0,0.000000,82.608696,13.043478,4.347826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,14,92.857143,3
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,A,S,47,0,0,38.297872,44.680851,4.255319,4.255319,2.127660,4.255319,0.000000,2.127660,0.000000,0.000000,0.000000,12,45,87.234043,2
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,D,S,47,0,0,6.382979,59.574468,25.531915,2.127660,4.255319,2.127660,0.000000,0.000000,0.000000,0.000000,0.000000,5,46,87.234043,4
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,SUMBURGH,KLM CITYHOPPER,A,S,1,0,0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,0,0.000000,
13/05/2025 13:58,202503,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,A,S,77,0,2,32.911392,43.037975,12.658228,2.531646,2.531646,3.797468,0.000000,0.000000,0.000000,0.000000,2.531646,5,50,71.153846,19
