name,matched_airport_name,matched_city,matched_country,iata,lat,lon,match_method,role
BEAUVAIS,Paris Beauvais Tille Airport,Beauvais/Tille,FR,BVA,49.4544,2.11278,city_match_single,destination
BEIJING,Beijing Capital International Airport,Beijing,CN,PEK,40.0801,116.585,city_multi_noqualifier_guess,destination
BEIJING DAXING INTERNATIONAL AIRPORT,Beijing Daxing International Airport,Beijing,CN,PKX,39.5,116.4,city_multi_noqualifier_guess,destination
BEIRUT,Beirut Rafic Hariri International Airport,Beirut,LB,BEY,33.8209,35.4884,city_match_single,destination
BEJA,Beja International Airport,Beja,PT,BYJ,38.0789,-7.9324,city_match_single,destination
BELFAST CITY (GEORGE BEST),Belfast International Airport,Belfast,GB,BFS,54.6575,-6.21583,city_multi_noqualifier_guess,destination
BELFAST INTERNATIONAL,Belfast International Airport,Belfast,GB,BFS,54.6575,-6.21583,city_multi_noqualifier_guess,destination
BELGRADE,Belgrade Nikola Tesla Airport,Belgrade,RS,BEG,44.8184,20.3091,manual_override,destination
BENAZIR BHUTTO INTERNATIONAL AIRPORT,Islamabad Benazir Bhutto International Airport,Islamabad,PK,ISB,33.5497,72.8256,manual_correction,destination
BERGAMO,Bergamo / Orio Al Serio Airport,Bergamo,IT,BGY,45.6739,9.70417,city_match_single,destination
BERGEN,Bergen Airport Flesland,Bergen,NO,BGO,60.2934,5.21814,city_match_single,destination
BERGERAC,Bergerac-Roumaniere Airport,Bergerac/Roumaniere,FR,EGC,44.8253,0.51861,city_match_single,destination
BERLIN BRANDENBURG,Berlin Brandenburg Airport,Berlin,DE,BER,52.3667,13.5033,manual_correction,destination
BERMUDA,L.F. Wade International Airport,Hamilton,BM,BDA,32.364,-64.6787,manual_override,destination
BEZIERS,Beziers-Vias Airport,Beziers/Vias,FR,BZR,43.3235,3.3539,city_match_single,destination
BIARRITZ,Biarritz-Anglet-Bayonne Airport,Biarritz/Anglet/Bayonne,FR,BIQ,43.4684,-1.52332,city_match_single,destination
BILBAO,Bilbao Airport,Bilbao,ES,BIO,43.3011,-2.91061,city_match_single,destination
BILLUND,Billund Airport,Billund,DK,BLL,55.7403,9.15178,city_match_single,destination
BIRMINGHAM,Birmingham International Airport,Birmingham,GB,BHX,52.4539,-1.74803,city_multi_noqualifier_guess,destination
BLACKPOOL,Blackpool International Airport,Blackpool,GB,BLK,53.7717,-3.02861,city_match_single,destination
BOA VISTA (RABIL),Atlas Brasil Cantanhede Airport,Boa Vista,BR,BVB,2.84139,-60.69222,city_match_single,destination
BODO,Bodo Airport,Bodo,NO,BOO,67.2692,14.3653,manual_override,destination
BODRUM (MILAS),Milas Bodrum International Airport,Bodrum,TR,BJV,37.2506,27.6643,city_multi_qualifier(0.56),destination
BOGOTA,El Dorado International Airport,Bogota,CO,BOG,4.70159,-74.1469,city_match_single,destination
BOLOGNA,Bologna / Borgo Panigale Airport,Bologna,IT,BLQ,44.5354,11.2887,city_match_single,destination
BOLZANO,Bolzano Airport,Bolzano,IT,BZO,46.4602,11.3264,city_match_single,destination
BORDEAUX,Bordeaux-Merignac (BA 106) Airport,Bordeaux/Merignac,FR,BOD,44.8283,-0.71556,city_match_single,destination
BOSTON,General Edward Lawrence Logan International Airport,Boston,US,BOS,42.362944,-71.006389,city_match_single,destination
BOURNEMOUTH,Bournemouth Airport,Bournemouth,GB,BOH,50.78,-1.8425,city_match_single,destination
BRASILIA,Presidente Juscelino Kubistschek International Airport,Brasilia,BR,BSB,-15.86917,-47.92083,city_match_single,destination
BRASOV-GHIMBAV,Brasov-Ghimbav Airport,Brasov,RO,GHV,45.7092,25.535,manual_override,destination
BRATISLAVA,M. R. Stefanik Airport,Bratislava,SK,BTS,48.1702,17.2127,city_match_single,destination
BRAUNSCHWEIG,Braunschweig Wolfsburg Airport,,DE,BWE,52.3192,10.5561,fuzzy(0.43),destination
BREMEN,Bremen Airport,Bremen,DE,BRE,53.0475,8.78667,city_match_single,destination
BRESCIA/MONTICHIARI,Brescia / Montichiari Airport,Brescia,IT,VBS,45.4289,10.3306,city_match_single,destination
BREST,Brest Airport,Brest,BY,BQT,52.1083,23.8981,city_match_single,destination
