run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
14/03/2025 09:52,202501,ABERDEEN,POLAND,GDANSK,WIZZ AIR,A,S,13,0,0,30.769231,53.846154,7.692308,0.000000,7.692308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,9,44.444444,67
14/03/2025 09:52,202501,ABERDEEN,POLAND,GDANSK,WIZZ AIR,D,S,13,0,0,0.000000,53.846154,23.076923,0.000000,15.384615,7.692308,0.000000,0.000000,0.000000,0.000000,0.000000,14,9,44.444444,70
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,A,S,16,0,1,11.764706,41.176471,11.764706,11.764706,5.882353,0.000000,0.000000,5.882353,5.882353,0.000000,5.882353,52,15,38.888889,49
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,D,S,16,0,1,0.000000,52.941176,5.882353,17.647059,5.882353,0.000000,0.000000,5.882353,5.882353,0.000000,5.882353,53,16,44.444444,47
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,A,S,50,0,3,18.867925,32.075472,18.867925,5.660377,7.547170,3.773585,3.773585,3.773585,0.000000,0.000000,5.660377,23,53,75.438596,15
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,D,S,51,0,4,1.818182,36.363636,29.090909,9.090909,5.454545,5.454545,1.818182,3.636364,0.000000,0.000000,7.272727,23,56,71.186441,16
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,A,S,18,0,1,36.842105,15.789474,15.789474,5.263158,5.263158,10.526316,5.263158,0.000000,0.000000,0.000000,5.263158,21,19,70.833333,4
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,D,S,16,0,2,5.555556,38.888889,16.666667,11.111111,5.555556,5.555556,5.555556,0.000000,0.000000,0.000000,11.111111,21,20,86.363636,3
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1,0.000000,36
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,D,S,1,0,0,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27,1,0.000000,50
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1,0.000000,42
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,A,S,22,0,2,0.000000,41.666667,25.000000,16.666667,4.166667,4.166667,0.000000,0.000000,0.000000,0.000000,8.333333,11,29,53.846154,23
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,D,S,22,0,2,0.000000,41.666667,8.333333,4.166667,8.333333,20.833333,8.333333,0.000000,0.000000,0.000000,8.333333,44,28,47.222222,33
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,A,S,57,0,5,27.419355,19.354839,22.580645,6.451613,4.838710,8.064516,0.000000,3.225806,0.000000,0.000000,8.064516,22,37,36.363636,37
14/03/2025 09:52,202501,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,D,S,56,0,6,6.451613,30.645161,25.806452,12.903226,4.838710,6.451613,1.612903,1.612903,0.000000,0.000000,9.677419,21,38,38.181818,37
