run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
18/05/2026 14:21,202603,ABERDEEN,POLAND,GDANSK,WIZZ AIR,A,S,14,0,0,50.000000,35.714286,14.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,14,92.857143,5
18/05/2026 14:21,202603,ABERDEEN,POLAND,GDANSK,WIZZ AIR,D,S,14,0,0,0.000000,78.571429,21.428571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,14,85.714286,8
18/05/2026 14:21,202603,ABERDEEN,POLAND,KRAKOW,RYANAIR,A,S,10,0,0,30.000000,60.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0.000000,
18/05/2026 14:21,202603,ABERDEEN,POLAND,KRAKOW,RYANAIR,D,S,10,0,0,0.000000,70.000000,20.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,0,0.000000,
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,A,S,18,0,0,27.777778,55.555556,5.555556,5.555556,0.000000,5.555556,0.000000,0.000000,0.000000,0.000000,0.000000,4,18,88.888889,9
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,D,S,18,0,0,0.000000,72.222222,11.111111,11.111111,5.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5,18,83.333333,10
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,A,S,62,0,1,23.809524,42.857143,17.460317,7.936508,4.761905,1.587302,0.000000,0.000000,0.000000,0.000000,1.587302,6,74,90.666667,8
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,D,S,62,0,1,7.936508,49.206349,28.571429,7.936508,4.761905,0.000000,0.000000,0.000000,0.000000,0.000000,1.587302,6,74,95.945946,4
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,A,S,22,0,0,40.909091,27.272727,13.636364,9.090909,9.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,22,95.454545,3
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,D,S,22,0,0,13.636364,59.090909,13.636364,0.000000,9.090909,4.545455,0.000000,0.000000,0.000000,0.000000,0.000000,8,22,95.454545,4
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,CARDIFF WALES,LOGANAIR LTD,A,C,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,155,0,0.000000,
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,EDINBURGH,EASYJET UK LTD,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1,100.000000,0
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,24,64.285714,29
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,D,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,23,46.153846,44
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,INVERNESS,BRITISH AIRWAYS PLC,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1,100.000000,0
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,A,S,66,0,0,42.424242,42.424242,10.606061,4.545455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,73,91.780822,4
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,D,S,70,0,1,9.859155,50.704225,23.943662,8.450704,1.408451,0.000000,2.816901,1.408451,0.000000,0.000000,1.408451,10,73,90.410959,7
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,A,S,62,0,0,46.774194,32.258065,12.903226,3.225806,4.838710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,62,95.161290,2
18/05/2026 14:21,202603,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,D,S,62,0,0,1.612903,79.032258,14.516129,0.000000,1.612903,1.612903,0.000000,0.000000,1.612903,0.000000,0.000000,10,62,96.774194,6
