run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
14/08/2025 16:05,202506,ABERDEEN,BULGARIA,BURGAS,BH AIR,A,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,3,100.000000,9
14/08/2025 16:05,202506,ABERDEEN,BULGARIA,BURGAS,BH AIR,D,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,4,0.000000,29
14/08/2025 16:05,202506,ABERDEEN,LATVIA,RIGA,AIR BALTIC,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,9,33.333333,44
14/08/2025 16:05,202506,ABERDEEN,LATVIA,RIGA,AIR BALTIC,D,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,9,33.333333,46
14/08/2025 16:05,202506,ABERDEEN,POLAND,GDANSK,WIZZ AIR,A,S,15,0,0,6.666667,53.333333,6.666667,6.666667,0.000000,13.333333,13.333333,0.000000,0.000000,0.000000,0.000000,33,8,62.500000,33
14/08/2025 16:05,202506,ABERDEEN,POLAND,GDANSK,WIZZ AIR,D,S,15,0,0,0.000000,33.333333,33.333333,6.666667,0.000000,13.333333,13.333333,0.000000,0.000000,0.000000,0.000000,33,8,37.500000,53
14/08/2025 16:05,202506,ABERDEEN,POLAND,KRAKOW,RYANAIR,A,S,8,0,0,12.500000,50.000000,37.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,0,0.000000,
14/08/2025 16:05,202506,ABERDEEN,POLAND,KRAKOW,RYANAIR,D,S,8,0,0,0.000000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,0,0.000000,
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,A,S,26,0,0,50.000000,34.615385,15.384615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,30,90.000000,5
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,D,S,26,0,0,11.538462,73.076923,15.384615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,30,86.666667,6
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,A,S,69,0,1,7.142857,35.714286,31.428571,8.571429,11.428571,4.285714,0.000000,0.000000,0.000000,0.000000,1.428571,12,71,81.944444,9
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,D,S,71,0,0,1.408451,61.971831,28.169014,1.408451,7.042254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,72,87.671233,5
