run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
15/09/2025 13:51,202507,ABERDEEN,BULGARIA,BURGAS,BH AIR,A,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,4,75.000000,20
15/09/2025 13:51,202507,ABERDEEN,BULGARIA,BURGAS,BH AIR,D,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,4,50.000000,30
15/09/2025 13:51,202507,ABERDEEN,LATVIA,RIGA,AIR BALTIC,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,9,55.555556,36
15/09/2025 13:51,202507,ABERDEEN,LATVIA,RIGA,AIR BALTIC,D,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,9,44.444444,45
15/09/2025 13:51,202507,ABERDEEN,POLAND,GDANSK,WIZZ AIR,A,S,17,0,0,41.176471,35.294118,11.764706,0.000000,0.000000,5.882353,5.882353,0.000000,0.000000,0.000000,0.000000,16,14,33.333333,50
15/09/2025 13:51,202507,ABERDEEN,POLAND,GDANSK,WIZZ AIR,D,S,17,0,0,0.000000,58.823529,23.529412,5.882353,0.000000,5.882353,5.882353,0.000000,0.000000,0.000000,0.000000,17,14,13.333333,64
15/09/2025 13:51,202507,ABERDEEN,POLAND,KRAKOW,RYANAIR,A,S,9,0,0,33.333333,66.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,
15/09/2025 13:51,202507,ABERDEEN,POLAND,KRAKOW,RYANAIR,D,S,9,0,0,0.000000,66.666667,22.222222,11.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,0,0.000000,
15/09/2025 13:51,202507,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,A,S,26,0,0,26.923077,46.153846,23.076923,3.846154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,30,93.333333,3
15/09/2025 13:51,202507,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,D,S,26,0,0,7.692308,69.230769,19.230769,3.846154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,32,93.750000,3
15/09/2025 13:51,202507,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,A,S,79,0,1,11.250000,47.500000,31.250000,5.000000,0.000000,2.500000,1.250000,0.000000,0.000000,0.000000,1.250000,7,80,83.750000,7
15/09/2025 13:51,202507,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,D,S,79,0,1,2.500000,65.000000,28.750000,0.000000,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.250000,2,81,93.827160,4
15/09/2025 13:51,202507,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,A,S,22,0,0,36.363636,40.909091,22.727273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,23,82.608696,13
