run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
15/10/2024 10:13,202408,ABERDEEN,BULGARIA,BURGAS,BH AIR,A,C,5,0,0,0.000000,40.000000,40.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,4,75.000000,10
15/10/2024 10:13,202408,ABERDEEN,BULGARIA,BURGAS,BH AIR,D,C,5,0,0,0.000000,0.000000,80.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,4,50.000000,17
15/10/2024 10:13,202408,ABERDEEN,LATVIA,RIGA,AIR BALTIC,A,S,9,0,0,0.000000,11.111111,33.333333,11.111111,22.222222,22.222222,0.000000,0.000000,0.000000,0.000000,0.000000,33,9,100.000000,2
15/10/2024 10:13,202408,ABERDEEN,LATVIA,RIGA,AIR BALTIC,D,S,9,0,0,0.000000,0.000000,22.222222,22.222222,33.333333,11.111111,11.111111,0.000000,0.000000,0.000000,0.000000,42,9,100.000000,6
15/10/2024 10:13,202408,ABERDEEN,POLAND,GDANSK,WIZZ AIR,A,S,17,0,0,0.000000,11.764706,35.294118,17.647059,23.529412,5.882353,5.882353,0.000000,0.000000,0.000000,0.000000,31,13,69.230769,9
15/10/2024 10:13,202408,ABERDEEN,POLAND,GDANSK,WIZZ AIR,D,S,17,0,0,0.000000,0.000000,47.058824,17.647059,23.529412,5.882353,0.000000,5.882353,0.000000,0.000000,0.000000,39,13,61.538462,14
15/10/2024 10:13,202408,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,A,S,28,0,0,25.000000,46.428571,17.857143,7.142857,3.571429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5,27,70.370370,32
15/10/2024 10:13,202408,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,D,S,28,0,0,7.142857,60.714286,25.000000,3.571429,3.571429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,27,66.666667,33
15/10/2024 10:13,202408,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,A,S,71,0,1,9.722222,52.777778,27.777778,5.555556,1.388889,0.000000,1.388889,0.000000,0.000000,0.000000,1.388889,6,72,38.666667,42
15/10/2024 10:13,202408,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,D,S,72,0,0,4.166667,65.277778,25.000000,2.777778,1.388889,0.000000,0.000000,1.388889,0.000000,0.000000,0.000000,5,73,69.333333,19
15/10/2024 10:13,202408,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,A,S,22,0,0,45.454545,31.818182,9.090909,9.090909,0.000000,4.545455,0.000000,0.000000,0.000000,0.000000,0.000000,9,20,68.181818,13
15/10/2024 10:13,202408,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,D,S,22,0,0,0.000000,45.454545,22.727273,13.636364,13.636364,4.545455,0.000000,0.000000,0.000000,0.000000,0.000000,12,22,68.181818,13
15/10/2024 10:13,202408,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,A,S,26,0,0,7.692308,23.076923,26.923077,15.384615,11.538462,11.538462,0.000000,3.846154,0.000000,0.000000,0.000000,29,23,62.500000,19
15/10/2024 10:13,202408,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,D,S,23,0,1,0.000000,20.833333,33.333333,4.166667,8.333333,16.666667,8.333333,4.166667,0.000000,0.000000,4.166667,44,23,70.833333,24
15/10/2024 10:13,202408,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,A,S,75,0,0,30.666667,46.666667,16.000000,4.000000,0.000000,1.333333,1.333333,0.000000,0.000000,0.000000,0.000000,5,80,81.481481,12
